求人年度,求人番号,受付安定所,事業所番号,インターネットへの公開,事業所名 カナ,事業所名,郵便番号（所在地）,住所（所在地）,アクセス（所在地）,代表者名,法人番号,ホームページ,従業員数（企業全体）,従業員数（就業場所）,設立,資本金,事業内容,会社の特長,雇用形態,職種,仕事の内容,郵便番号（就業場所）,住所（就業場所）,アクセス（就業場所）,求人数（通勤）,求人数（住込）,求人数（不問）,必要な知識・技能等,転勤の可能性,マイカー通勤の可否,入居可能住宅（単身用）,入居可能住宅（世帯用）,基本給,月給（基本給+手当+残業代）,賞与有無（新卒）,時間外労働の有無,時間外労働の月平均時間数,変形労働時間制の種類,休日等,就業時間1,就業時間2,就業時間3,年間休日数,複数応募の受け入れ,複数応募開始の日程,職場見学の受け入れ,職場見学の日程,課係名・役職名（担当者）,氏名（担当者）,氏名カナ（担当者）,電話番号（担当者）,FAX（担当者）,Eメール（担当者）,補足事項,特記事項,産業分類,職業分類（3桁）,職業分類（5桁）,職業分類2（3桁）,職業分類2（5桁）,就業場所住所（市区町村）,就業場所住所2（市区町村）,就業場所住所3（市区町村）,管理番号,対象学科,エリア,卒業生の入社実績,その他の分類,募集人数,来校の有無,二次募集の有無,職場見学人数,応募人数,入社人数,備考,申送り事項,公開日時,最終更新日時,登録方法,元ファイル名,職業分類（ハローワーク）大分類,職業分類（ハローワーク）中分類,職業分類（ハローワーク）小分類,職業分類（handy）大分類,職業分類（handy）中分類,職業分類2（ハローワーク）大分類,職業分類2（ハローワーク）中分類,職業分類2（ハローワーク）小分類,職業分類2（handy）大分類,職業分類2（handy）中分類,お気に入り登録数,職業分類コード（日本標準職業分類への変換）,職業分類（日本標準職業分類への変換）,職業分類2コード（日本標準職業分類への変換）,職業分類2（日本標準職業分類への変換）
2026,28070-23869,伊丹公共職業安定所,2807-617522-4,可,シンエイデンセツ カブシキガイシャ,真栄電設 株式会社,664-0845,兵庫県伊丹市東有岡3丁目237,JR宝塚線 伊丹駅 から 徒歩10分,代表取締役 真下 寛,9140000000000,https://www.shin-ei-densetsu.com,9,9,昭和47年,"1,000万円","電気制御盤製造 電気工事 計装工事
電気設計·ソフト設計","創業50年になり、業績安定し、家族的な雰囲気である。
従業員の勤続年数も長く、平均15年です。",正社員,ものづくりスタッフ【機械を動かす制御盤】,"【“機械の頭脳”となる制御盤づくり】
制御盤とは様々な機械を動かすための、“電機信号”を送る装置のことです。
食品工場や製薬工場など様々な場所で使われる制御盤の製作をお任せします!
知識や資格がなくても1から丁寧な指導があります。
まずは先輩スタッフの補助作業など簡単な作業から自分のペースでレベルアッ
プを目指しましょう。
*変更範囲:会社の定める業務",664-0845,兵庫県伊丹市東有岡3丁目237,JR宝塚線 伊丹駅 から 徒歩10分,1,0,0,不問,なし,可,なし,なし,220000,220000,あり,あり,14,,日祝 その他,08:00-17:00,,,120,可,令和8年11月1日以降,可,随時,代表取締役,真下 寛,マシモ ヒロシ,080-1447-2898,072-770-8125,,"<公開求人>
\仕事の楽しさも学べる/
自分が取り付けたものが、機械を動かす“頭脳となる”。
制御盤と聞くと日常生活ではあまり馴染みがないかもしれませんが
、工場の機械を動かすための装置として日本の産業を支える仕事で
す。やりがいや仕事の楽しさも感じることができます。
\仕事もプライベートも大切に/
完全週休2日制で年間休日数120日とプライベートの時間もしっ
かり確保していただけます。
仕事もプライベートも充実させよう!","\1人暮らしのサポートも/
地方から出てこられて会社近くで1人暮らしをご希望の方はご相談
ください!
借上げサポートや家賃補助サポートなどございます (会社規定有) 
\資格取得支援制度もあります/
様々な資格を取得し、仕事の幅を広げることで給与アップなどにも
繋げていただけます。
*選考旅費:上限2万円 *赴任旅費:上限5万円",291,74,074-02,,,兵庫県伊丹市,,,2922,,,,,,,,,,,,,2026年08月27日 12:12,2026年08月27日 12:12,バーコードスキャン,求人番号_28070-23869.pdf,製造・修理・塗装・製図等の職業,機械組立工,電気機械組立工,生産/製造に関わる,組立,,,,,,0,542,電気機械器具組立従事者,,
2026,45040-275869,都城公共職業安定所,4504-3181-2,可,トーインカコウ カブシキガイシャ,トーイン加工 株式会社,885-0114,宮崎県都城市庄内町8149,谷頭駅 から 車20分,取締役社長 八代 寛史,5350000000000,,30,30,平成3年,"1,000万円","プラスチック加工業
【Z04】","東京インキ株式会社 (東証スタンダード上場) の関連会社。当社製
品は全国ネットで販売。事業拡大中。",正社員,製造,"◇プラスチック製品の製造·加工
·合成樹脂ネット「ネトロン」や合成樹脂製土木資材の製造など。
「変更の範囲:変更なし」",885-0114,宮崎県都城市庄内町8149,谷頭駅 から 車20分,3,0,0,不問,なし,可,なし,なし,182000,182000,あり,あり,5,変形労働時間制 (1年単位),土日 その他,08:00-16:30,16:00-00:30,00:00-08:30,120,可,令和8年10月1日以降,可,随時,工場長,牧野 圭太,マキノ ケイタ,0986-37-0027,0986-37-2910,,"*試用期間:3ヶ月 (労働条件変更なし) 
*就業時間: (4) 8時30分〜17時30分
*深夜割増別途支給
*応募前職場見学:事前に電話連絡下さい。
*応募書類:手書き作成のみ","*賃金手取り額:150,217円 (税金等控除後) 
*賃金から控除される欽額:31,783円 (税·社会保険等) 
*通勤手当:5,000円を全員に支給します。
*新卒者入社日:令和9年4月1日
*マイカー通勤:無料駐車場あり",189,69,069-06,,,宮崎県都城市,,,2918,,,,,,,,,,,,,2026年08月27日 12:12,2026年08月27日 12:12,バーコードスキャン,求人番号_45040-275869.pdf,製造・修理・塗装・製図等の職業,生産設備オペレーター（金属製品・食料品等を除く）,ゴム・プラスチック製品生産設備オペレーター,生産/製造に関わる,機械操作,,,,,,0,508,ゴム・プラスチック製品生産設備制御・監視員,,
2026,28070-22969,伊丹公共職業安定所,2807-617871-3,可,カブシキガイシャ シンカンケンセツ,株式会社 真堪建設,664-0842,兵庫県伊丹市森本4-212,JR伊丹駅 から 徒歩20分,代表取締役 日野 真之介,7140000000000,https://shinkanhsk.jp/,11,11,令和3年,100万円,"私たちは伊丹を中心に地域のインフラを支える道路工事の専門業者
として、駐車場の舗装工事や道路の修繕工事をはじめ、外構工事、
カラー舗装工事など、多岐にわたる施工を行っております。","現場は20代の若手が中心で、にぎやかでチームワークも抜群!体
を動かすのが好きな方や、仲間と一緒に何かを成し遂げたい方には
ぴったりです。",正社員,"スケジュール·品質管理スタッフ(施工管理
)","〜修繕工事の現場リーダーをお任せします〜
プロジェクトがスムーズに進むように、様々な業務を行います!例えば、施工
後にキズ·汚れ·不具合がないかをチェック!
○見積·工事書類の作成やデータ入力などの事務作業
○人員配置の決定、スケジュールの管理、安全管理の実施
○入社後は、現場研修や先輩のアシスタントを行いながら知識をつけていき、
国家資格の施工管理技能士を目指していきます!
【変更範囲:なし】",664-0842,兵庫県伊丹市森本4-212,JR伊丹駅 から 徒歩20分,0,0,4,不問,なし,可,あり,なし,240000,240000,あり,あり,10,,土日祝 その他,08:00-17:00,,,125,可,令和8年11月1日以降,可,随時,代表取締役,日野 真之介,ヒノ シンノスケ,080-1423-1954,072-710-4660,snk88@shinkanhsk.net,"<公開求人>
●株式会社真堪建設の強み
私たちは平均年齢が20代の、若いスタッフのみで構成されたエネ
ルギーあふれる道路工事のプロフェッショナル集団です。安全管理
やマナーにも細やかに配慮し、地域の皆様に信頼される仕事を心が
けています。
●従業員同士のコミュニケーションの場もあります!
年に1回夏に慰安旅行があります。もちろん家族も参加OKです。
また、月1回の食事会で社員同士の親睦を深めています。コミュニ
ケーションの場を増やしその後の仕事を活かせます。","●1人暮らし制度
希望者には社宅をご準備します。地元の方から地方の方までお気軽
にご相談ください!
寮費:4万円/月 (光熱費別、自己負担) 
●今後こんな会社にしていきたい
地域社会に貢献し、「任せてよかった」と思っていただける会社を
目指してまいります。一緒にかっこいい現場をつくっていきましょ
う!
※試用期間:3ヶ月 (同条件) 
※マイカー通勤:可 (無料駐車場あり) ",63,8,008-02,,,兵庫県伊丹市,,,2924,,,,,,,,,,,,,2026年08月27日 12:12,2026年08月27日 12:12,バーコードスキャン,求人番号_28070-22969.pdf,研究・技術の職業,建築・土木・測量技術者,建築施工管理技術者,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),,,,,,0,91,建築技術者,,
2026,45040-173469,都城公共職業安定所,4504-614087-0,可,ミヤザキクミアイチキンフーズカブシキガイシャ ミヤコノジョウショクヒンコウジョウ,宮崎くみあいチキンフーズ株式会社 都城食品工場,885-1103,宮崎県都城市上水流町2832番地,万ヶ塚駅 から 車10分,代表取締役社長 大村 賢太郎,3350000000000,http://www.ja-zcf.co.jp/miyazaki/,854,312,昭和47年,"9,000万円","食料品製造業 (初生ひなの生産販売·生産農家の技術経営指導·飼
料資材の供給·食鳥の製造加工) ","全農チキンフーズ株式会社の全額出資により、年間約3,900万
羽と全国有数のブロイラー取扱規模により、お客様の食卓に安心·
安全をお届けする信頼される事業に発展しております。",正社員,"【製造工員】ブロイラー製造·加工
(現業職)","*製造:包丁を使用した鶏肉整形作業·残骨処理作業
*製品:製品出荷·梱包作業
*原料:脱毛·中抜き作業
*工務:製造機械類のメンテナンス等
「変更範囲:変更なし」",885-1103,宮崎県都城市上水流町2832番地,万ヶ塚駅 から 車10分,5,0,0,不問,なし,可,なし,なし,190000,190000,あり,あり,10,変形労働時間制 (1年単位),日 その他,07:10-16:15,08:00-17:05,08:15-17:20,100,可,令和8年10月1日以降,可,随時,総務課,和田、田中,ワダ、タナカ,0986-45-3255,0986-45-3288,wada-yuu@ja-mcf.co.jp,"·全農チキンフーズグループ (全国5社) JAみやざき関連会
【試用期間】3ヶ月 (同条件) 
◎応募前職場見学可 (事前連絡要) 
◎応募書類:手書き·パソコン作成どちらでも可 (混在可) 
◎通勤手当:日額110〜2,280円
その他通勤に関しても支給規定あり
◎応募書類:手書き、パソコン作成どちらも可 (混在可) ","【賃金月額】190,000円
【賃金の手取額】159,186円 (税金等控除後) 
【賃金から控除される金額】30,814円 (税·社会保険等) 
【通 勤】マイカー通勤可 (駐車場あり) 
【勤続手当】勤続年数3年以上から1000円/月〜
【家族手当】配偶者:12,000円/月
子 (1人につき) :4,000円/月
その他の扶養者 :2,500円/月
【選考方法】面接
【入社日】令和9年4月1日",91,72,072-02,,,宮崎県都城市,,,2919,,,,,,,,,,,,,2026年08月27日 12:12,2026年08月27日 12:12,バーコードスキャン,求人番号_45040-173469.pdf,製造・修理・塗装・製図等の職業,製品製造・加工処理工（食料品等）,食肉加工工,生産/製造に関わる,製造/加工(食料品),,,,,,0,533,食料品製造従事者,,
2026,13030-529469,上野公共職業安定所,1303-619191-6,可,カブシキガイシャ モグ,株式会社 MOG,111-0036,東京都台東区松が谷1-4-7-801 ヒル·イーストSS,東京メトロ銀座線 稲荷町駅 から 徒歩5分,代表取締役 小林 要一朗,5010500000000,https://arwrk.net/recruit/mog,43,43,平成25年,300万円,"全国の生産者と契約し、野菜や果物の販売をおこなう農業ベンチャ
ー企業です。現在では、契約販売·産地開発など幅広く事業を展開
、今後は加工事業や消費者向け事業、貿易事業にも挑戦予定です!","創業から毎期連続増収の成長企業。30代の若手社長と風通しの良
い環境のもと、青果物の流通分野において培ってきたノウハウと実
績を基に、国内外での新たな価値を創造します。",正社員,"野菜倉庫の管理マネージャー
(倉庫作業、在庫やシフト管理、教育など)","★MOGが作る野菜のストーリー★
野菜は畑を耕すところから始まり、最後は人の口に入ります。
その生産から食卓までの物語を創るのが、MOGの仕事です。
具体的には、
·全国から集まった野菜を小分けにパッキング
·全体の商品管理、入庫管理、働くメンバーのマネージメントまで
#高卒先輩社員活躍 #働く仲間を大事にしたい
*変更の範囲:会社が定める業務",136-0082,"東京都江東区新木場3-8-22
新木場事業所",JR京葉線他 新木場駅からバス乗換 東京へリポート前駅 から 徒歩2分,1,0,0,不問,なし,不可,なし,なし,201207,232000,あり,あり,10,変形労働時間制 (1ヶ月単位),その他,08:00-17:00,08:30-17:30,09:00-18:00,120,可,令和8年10月1日以降,可,随時,業務管理部,採用担当者,,03-6457-0639,,,"◆当社は20代·30代が中心と業界の中でも若く活気があり、
高校のクラスのメンバーがそのまま大人になったような、
アットホームな会社です!
◆入社後はビジネスマナー研修、先輩とマンツーマン研修から始め
一つ一つの仕事を覚えていただきます
【会社見学】
※随時受付中!お気軽にご相談ください。
※遠方の場合、リモート見学も受付しておりますのでご相談くだ
さい。","◆昇給については成績、勤務態度に応じて決定します
◆通学:時間、費用は内容によって応相談 (業務に資する物等) 
◆面接:1回",522,97,097-01,39,039-02,東京都江東区,,,2916,,,,,,,,,,,,,2026年08月27日 08:34,2026年08月27日 08:34,バーコードスキャン,求人番号_13030-529469.pdf,運搬・清掃・包装・選別等の職業,包装作業員,製品包装作業員,運輸/物流に関わる,倉庫/作業,事務的職業,生産関連事務の職業,出荷・受荷係事務員,事務に関わる,生産事務,0,721,包装従事者,272,出荷・受荷事務員
2026,13030-528569,上野公共職業安定所,1303-619191-6,可,カブシキガイシャ モグ,株式会社 MOG,111-0036,東京都台東区松が谷1-4-7-801 ヒル·イーストSS,東京メトロ銀座線 稲荷町駅 から 徒歩5分,代表取締役 小林 要一朗,5010500000000,https://arwrk.net/recruit/mog,43,43,平成25年,300万円,"全国の生産者と契約し、野菜や果物の販売をおこなう農業ベンチャ
ー企業です。現在では、契約販売·産地開発など幅広く事業を展開
、今後は加工事業や消費者向け事業、貿易事業にも挑戦予定です!","創業から毎期連続増収の成長企業。30代の若手社長と風通しの良
い環境のもと、青果物の流通分野において培ってきたノウハウと実
績を基に、国内外での新たな価値を創造します。",正社員,"野菜のコンサルティング営業
レアな野菜の企画コンサルティングなど","★MOGが作る野菜のストーリー★
野菜は畑を耕すところから始まり、最後は人の口に入ります。
その生産から食卓までの物語を創るのが、MOGの仕事です。
具体的には、食品加工メーカーや飲食店のシェフから「こんな野菜あんな果物
を仕入れたい!」といった要望を集め、全国の農家をまわり、要望に合う青果
物を見つけてくる仕事です。
#高卒先輩社員活躍 #入社後は先輩との同行からスタート
*変更の範囲:会社が定める業務",136-0082,"東京都江東区新木場3-8-22-301
新木場事業所",JR京葉線他 新木場駅からバス乗換 東京へリポート前駅 から 徒歩2分,1,0,0,不問,なし,不可,なし,なし,201207,232000,あり,あり,10,変形労働時間制 (1ヶ月単位),土日祝 その他,08:00-17:00,09:00-18:00,,120,可,令和8年10月1日以降,可,随時,業務管理部,採用担当者,,03-6457-0639,,,"◆当社は20代·30代が中心と業界の中でも若く活気があり、
高校のクラスのメンバーがそのまま大人になったような、
アットホームな会社です!
◆入社後はビジネスマナー研修、先輩とマンツーマン研修から始め
一つ一つの仕事を覚えていただきます
【会社見学】
※随時受付中!お気軽にご相談ください。
※遠方の場合、リモート見学も受付しておりますのでご相談くだ
さい。","◆昇給については成績、勤務態度に応じて決定します
◆通学:時間、費用は内容によって応相談 (業務に資する物等) 
◆面接:1回",522,64,064-99,48,048-01,東京都江東区,,,2917,,,,,,,,,,,,,2026年08月27日 08:34,2026年08月27日 08:34,バーコードスキャン,求人番号_13030-528569.pdf,農林漁業の職業,農業の職業（養畜・動物飼育・植木・造園を含む）,その他の農業の職業,農林水産業に関わる,農業,販売・営業の職業,営業の職業,飲食料品営業員,営業に関わる,営業,0,469,その他の農業従事者,341,食料品営業職業従事者
2026,46030-79869,鹿屋公共職業安定所,4603-1826-2,可,カブシキガイシャセトヤマグミ,株式会社瀬戸山組,893-2601,鹿児島県肝属郡南大隅町佐多伊座敷3316,,代表取締役 福谷 正隆,3340000000000,,35,4,昭和8年,"2,000万円",総合建設業,"創業以来順調に業績を伸ばし、職員一同安全第一に心掛け業務に精
一杯頑張っています。",正社員,一般事務·建設ディレクター,"【一般事務】
○請求書·見積書·契約書類などの作成
○来客·電話対応
○労務管理
○現場監督のサポート業務
【建設ディレクター】
○現場の書類作成
○測量の補助
○変更の範囲:変更なし",893-0064,鹿児島県鹿屋市西原1丁目12-27,,2,0,0,"あれば尚可
○普通自動車運転免許 (AT限定可) 
※入社後の取得可",なし,可,なし,なし,220000,220000,あり,あり,5,,日 その他,08:00-17:00,,,104,可,令和8年10月1日以降,可,随時,代表取締役,福谷 正隆,フクタニ セイリュウ,0994-26-0545,0994-26-0546,setoyamagumi@helen.ocn.ne.jp,"○応募前見学可能です。見学希望の際はお問い合わせ下さい。
○面接は、鹿屋営業所または本社にて行います。どちらでも選択し
てください。
○一般事務は本社と営業所での勤務となります。
○建設ディレクターは主に稼働している現場と営業所での勤務とな
ります。
○履歴書:手書き、パソコン作成どちらも可
○選考旅費、赴任旅費については、交通費及び宿泊費は全額負担し
ます。","○各資格取得について、全面的にバックアップします。
◆令和8年6月19日「公正な採用選考のために」にて説明済み",61,34,034-01,39,039-01,鹿児島県鹿屋市,,,2915,,,,,,,,,,,,,2026年08月24日 15:01,2026年08月24日 15:01,バーコードスキャン,求人番号_46030-79869.pdf,事務的職業,一般事務・秘書・受付の職業,一般事務員,事務に関わる,一般事務,事務的職業,生産関連事務の職業,生産現場事務員,事務に関わる,生産事務,1,257,総合事務員,271,生産現場事務員
2026,40120-203169,福岡東公共職業安定所,4012-909-0,可,イッパンザイダンホウジン キュウカムラ キョウカイ キュウカムラ シカノシマ,一般財団法人 休暇村協会 休暇村志賀島,811-0325,福岡県福岡市東区大字勝馬1803-1,,総支配人 矢津田 則幸,2010510000000,http://www.qkamura.or.jp/shikano,2143,53,昭和36年,,リゾートホテル「休暇村」の運営,"国定公園に囲まれたリゾートホテル。玄界灘に沈む夕日は美しく海
水浴場やプール、星座観察会、海鮮ビュッフェを楽しむことができ
ます。",正社員,料理スタッフ,"お客様に提供する料理の調理業務を行います。休暇村志賀島では、朝食と夕食
はビュッフェスタイル、昼食は定食メニューをご用意します。夕食は、旬の素
材や地元の食材を使用した海鮮を中心としたメニューが並びます。また、ライ
ブキッチンでは、お客様の前で出来立ての料理を提供します。
将来は、料理の企画などにも携わり、地元の生産者や納入業者との協業を行い
ます。
※変更の範囲:変更なし",811-0325,福岡県福岡市東区大字勝馬1803-1,,0,0,2,不問,なし,可,あり,なし,180000,180000,あり,あり,20,変形労働時間制 (1ヶ月単位),その他,06:00-15:00,08:00-17:00,,110,可,令和8年11月1日以降,可,随時,管理課 支配人,堀 琢磨,ホリ タクマ,092-603-6631,092-603-6634,shikano@qkamura.or.jp,"休暇村は国立·国定公園等の豊かな自然環境の中でのみ展開する唯
一のリゾートホテルグループです。全国35か所一括経営と50万
人超の顧客組織により安定した経営を行っています。
宿泊だけでなく、その地域ならではの自然や文化、産業などの魅力
を活用したオリジナルツアーの体験プログラムも行っています。
従業員寮 (使用料月額5,500円/無料WiーFiあり) や従業
員食堂も完備していますので、初めての一人暮らしでも心配ありま
せん。リフレッシュ休暇制度、永年勤続休暇、退職年金制度、従業
員及び家族の宿泊利用割引制度など福利厚生制度も充実しています
。","·昇給4.7%は定期昇給対象者の平均値。
※ベースアップを含む昇給は2年目以降、年1回実施します。
昇給額は1か月あたり1, 000円〜20,000円 (役職者
含む) で人事考課により決定します。
·職場見学も可能です。館内をはじめ、バックヤード、従業員寮な
ど通常ではご覧になれないホテルの裏側をご案内します。※要予約
★2027年3月従業員寮リニューアル完成予定。
*控除額目安 : 29,296円 (税金+社会保険料) 
手取額目安 :150,704円",751,55,055-01,,,福岡県福岡市東区,,,2914,,,,,,,,,,,,,2026年08月24日 12:41,2026年08月24日 12:41,バーコードスキャン,求人番号_40120-203169.pdf,サービスの職業,飲食物調理の職業,日本料理調理人,接客/サービスに関わる,飲食,,,,,,0,391,調理人,,
2026,40120-204669,福岡東公共職業安定所,4012-909-0,可,イッパンザイダンホウジン キュウカムラ キョウカイ キュウカムラ シカノシマ,一般財団法人 休暇村協会 休暇村志賀島,811-0325,福岡県福岡市東区大字勝馬1803-1,,総支配人 矢津田 則幸,2010510000000,http://www.qkamura.or.jp/shikano,2143,53,昭和36年,,リゾートホテル「休暇村」の運営,"国定公園に囲まれたリゾートホテル。玄界灘に沈む夕日は美しく海
水浴場やプール、星座観察会、海鮮ビュッフェを楽しむことができ
ます。",正社員,施設メンテナンススタッフ,"施設·設備の日常メンテナンスや法定点検、園地の整備·清掃業務を行います
。ホテルの財産である施設や国立·国定公園等の園地を管理し、おもてなしの
基本を支える重要な仕事です。
日常業務では、機械操作·点検にかかる知識を、園地管理では使用する機械類
の扱いを習得していただきます。また、屋外施設のプールや浜売店などの管理
·運営にも携わります。
将来は、日常業務に加え、協力会社との打ち合わせなどを行い、新たな管理計
画や施設維持管理計画の作成など、業務の幅を広げていきます。
※変更の範囲:変更なし",811-0325,福岡県福岡市東区大字勝馬1803-1,,0,0,1,不問,なし,可,あり,なし,180000,180000,あり,あり,20,変形労働時間制 (1ヶ月単位),その他,07:00-16:00,08:00-17:00,,110,可,令和8年11月1日以降,可,随時,管理課 支配人,堀 琢磨,ホリ タクマ,092-603-6631,092-603-6634,shikano@qkamura.or.jp,"休暇村は国立·国定公園等の豊かな自然環境の中でのみ展開する唯
一のリゾートホテルグループです。全国35か所一括経営と50万
人超の顧客組織により安定した経営を行っています。
宿泊だけでなく、その地域ならではの自然や文化、産業などの魅力
を活用したオリジナルツアーの体験プログラムも行っています。
従業員寮 (使用料月額5,500円/無料WiーFiあり) や従業
員食堂も完備していますので、初めての一人暮らしでも心配ありま
せん。リフレッシュ休暇制度、永年勤続休暇、退職年金制度、従業
員及び家族の宿泊利用割引制度など福利厚生制度も充実しています
。","·昇給4.7%は定期昇給対象者の平均値。
※ベースアップを含む昇給は2年目以降、年1回実施します。
昇給額は1か月あたり1, 000円〜20,000円 (役職者
含む) で人事考課により決定します。
·職場見学も可能です。館内をはじめ、バックヤード、従業員寮な
ど通常ではご覧になれないホテルの裏側をご案内します。※要予約
★2027年3月従業員寮リニューアル完成予定。
*控除額目安 : 29,296円 (税金+社会保険料) 
手取額目安 :150,704円",751,57,057-03,,,福岡県福岡市東区,,,2913,,,,,,,,,,,,,2026年08月24日 12:41,2026年08月24日 12:41,バーコードスキャン,求人番号_40120-204669.pdf,サービスの職業,居住施設・ビル等の管理の職業,ビル管理人,接客/サービスに関わる,建物管理,,,,,,0,413,ビル管理人,,
2026,40120-185369,福岡東公共職業安定所,4012-909-0,可,イッパンザイダンホウジン キュウカムラ キョウカイ キュウカムラ シカノシマ,一般財団法人 休暇村協会 休暇村志賀島,811-0325,福岡県福岡市東区大字勝馬1803-1,,総支配人 矢津田 則幸,2010510000000,http://www.qkamura.or.jp/shikano,2143,53,昭和36年,,リゾートホテル「休暇村」の運営,"国定公園に囲まれたリゾートホテル。玄界灘に沈む夕日は美しく海
水浴場やプール、星座観察会、海鮮ビュッフェを楽しむことができ
ます。",正社員,ホテルスタッフ,"フロントでは、チェックイン、チェックアウト、予約管理業務、電話対応、メ
ール対応等を行います。また、豊かな自然環境の中で、星座観察会などの体験
プログラムも担当します。
レストランでは、ビュッフェなどの食事サービスを担当し、食事や飲み物の提
供だけでなく、オープン前の準備やクローズ後の片付け、商品の注文等を行い
ます。
また、フロントとレストラン双方で経験を積んだあと、ツアーの添乗や宿泊プ
ランの作成など業務の幅を広げていきます。
※変更の範囲:変更なし",811-0325,福岡県福岡市東区大字勝馬1803-1,,0,0,5,不問,なし,可,あり,なし,180000,180000,あり,あり,20,変形労働時間制 (1ヶ月単位),その他,07:00-16:00,12:00-21:00,09:00-18:00,110,可,令和8年11月1日以降,可,随時,管理課 支配人,堀 琢磨,ホリ タクマ,092-603-6631,092-603-6634,shikano@qkamura.or.jp,"休暇村は国立·国定公園等の豊かな自然環境の中でのみ展開する唯
一のリゾートホテルグループです。全国35か所一括経営と50万
人超の顧客組織により安定した経営を行っています。
宿泊だけでなく、その地域ならではの自然や文化、産業などの魅力
を活用したオリジナルツアーの体験プログラムも行っています。
従業員寮 (使用料月額5,500円/無料WiーFiあり) や従業
員食堂も完備していますので、初めての一人暮らしでも心配ありま
せん。リフレッシュ休暇制度、永年勤続休暇、退職年金制度、従業
員及び家族の宿泊利用割引制度など福利厚生制度も充実しています
。","·昇給4.7%は定期昇給対象者の平均値。
※ベースアップを含む昇給は2年目以降、年1回実施します。
昇給額は1か月あたり1, 000円〜20,000円 (役職者
含む) で人事考課により決定します。
·職場見学も可能です。館内をはじめ、バックヤード、従業員寮な
ど通常ではご覧になれないホテルの裏側をご案内します。※要予約
★2027年3月従業員寮リニューアル完成予定。
*控除額目安 : 29,296円 (税金+社会保険料) 
手取額目安 :150,704円",751,56,056-04,56,056-05,福岡県福岡市東区,,,2912,,,,,,,,,,,,,2026年08月24日 12:41,2026年08月24日 12:41,バーコードスキャン,求人番号_40120-185369.pdf,サービスの職業,接客・給仕の職業,旅館・ホテルフロント係,接客/サービスに関わる,接客,サービスの職業,接客・給仕の職業,旅館・ホテル接客係,接客/サービスに関わる,接客,0,404,身の回り世話従事者,404,身の回り世話従事者
2026,46080-131969,大隅公共職業安定所,4608-15732-5,可,シャカイフクシホウジン サンポウカイ (カイセイエン) ,社会福祉法人 三峰会 (回生園) ,899-7301,鹿児島県曽於郡大崎町菱田3063番地,,理事長 川口 尚美,7340010000000,http://www.kaiseien-sanpokai.jp/,52,52,昭和49年,,"特別養護老人ホーム·ショートスティ·ディサービスセンター·
グループホーム·居宅介護支援事業所",老人介護,正社員,介護職員,"介護老人福祉施設における介護業務全般
·利用者の食事介助、更衣介助、入浴介助、排泄介助等
·利用者の生活の援助
·その他、付随する業務
【業務の変更範囲:変更無し】",899-7301,鹿児島県曽於郡大崎町菱田3063番地,,5,0,0,不問,あり,可,,,199700,199700,あり,あり,2,変形労働時間制 (1ヶ月単位),その他,07:00-16:00,09:00-18:00,10:00-19:00,107,可,令和8年10月1日以降,可,随時,社会福祉法人 三峰会 常務理事,川口 将太,カワグチ ショウタ,099-477-0372,099-477-1676,,"○就業時間 (4) 16:00〜9:00 (16時間) 
月に4〜5回程度夜勤があります
夜勤手当:5,000円/回
○敷地内別施設への転勤の可能性があります。
○受付方法:郵送、電話
○履歴書:手書き、パソコン作成どちらでも可","○資格手当:介護福祉士
○賞与·昇給:昨年度は新規学卒者の採用がなかったため実績なし
ですが会社規定により支給あり。
○諸手当について
·住宅手当:会社規程により支給あり (上限27,000円) 
○既卒者·中退者の応募にはハローワークの紹介状が必要です",854,50,050-01,,,鹿児島県曽於郡大崎町,,,2911,,,,,,,,,,,,,2026年08月24日 12:41,2026年08月24日 12:41,バーコードスキャン,求人番号_46080-131969.pdf,福祉・介護の職業,施設介護の職業,高齢者入所型施設介護員,医療/福祉に関わる,介護,,,,,,0,361,介護職員（医療・福祉施設等）,,
